Numer of GPUs, Average Number of Iterations, Number Of Values Per GPU, Total Number of Values, Number Of Features, Number of Clusters, 8Avg. RSME, Total Time (ms), Time Per Iteration (ms)
2,101,1440,2880,11,15,0.643837763031,3455.08205891,34.2087332565
2,101,1440,2880,11,15,0.634817980744,3400.20298958,33.6653761344
2,101,2880,5760,11,15,2.56971663344,6125.72491169,60.6507416999
2,101,2880,5760,11,15,2.0731212715,6059.21554565,59.9922331253
2,101,2880,5760,11,15,1.78639893108,5948.46999645,58.8957425391
2,101,2880,5760,11,15,1.17174390694,5968.1674242,59.0907665763
2,101,2880,5760,11,15,0.527011562527,6135.0915432,60.7434806257
2,91,2880,5760,11,15,1.19139406055,5382.21955299,58.4839087873
2,101,2880,5760,11,15,0.494135898613,6132.4300766,60.7171294713
2,95,2880,5760,11,15,2.84009672477,5709.50448513,59.6458234672
2,101,2880,5760,11,15,1.5486387791,6010.00750065,59.5050247589
2,101,2880,5760,11,15,0.874650255026,6072.32987881,60.122078008
2,101,5760,11520,11,15,1.83705429403,11326.0064125,112.138677352
2,101,5760,11520,11,15,0.726501688612,11420.876503,113.077985178
2,101,5760,11520,11,15,1.06888421124,11428.4939766,113.153405709
2,101,5760,11520,11,15,0.619639042473,11404.0445089,112.911331772
2,100,5760,11520,11,15,0.69900793136,11275.6019831,112.718963625
2,88,5760,11520,11,15,0.708590669795,9877.82597542,111.246531195
2,101,5760,11520,11,15,0.659478425682,11588.1203413,114.733864765
2,95,5760,11520,11,15,1.74545043482,10839.1466141,113.593663595
2,101,5760,11520,11,15,0.54978355618,11371.2519407,112.586652878
3,91,90,270,11,15,1.31924787078,1408.96630287,15.9401840503
3,96,90,270,11,15,2.11240864444,1329.34856415,13.4257254141
3,82,90,270,11,15,0.713046427895,1273.20464452,14.7077084934
3,75,90,270,11,15,0.295359547386,1230.48599561,14.8219015796
3,86,90,270,11,15,5.46241871978,1318.69888306,15.523553478
3,84,90,270,11,15,3.39713725539,1255.62357903,15.319110113
3,101,90,270,11,15,1.02484670111,1177.5302887,11.6587157297
3,94,90,270,11,15,0.535375920744,1308.40396881,14.1783294111
3,89,90,270,11,15,3.48574406109,1173.92730713,12.2229940321
3,94,90,270,11,15,0.931268211522,1426.53131485,14.8208462993
3,85,180,540,11,15,1.07704635037,1416.64298375,17.402572025
3,83,180,540,11,15,0.58304989135,1428.74503136,16.0742391153
3,92,180,540,11,15,0.617373957671,1445.25432587,15.006671696
3,90,180,540,11,15,0.620988952256,1510.20860672,16.6883790791
3,94,180,540,11,15,1.36570113447,1573.80795479,16.3475795548
3,101,180,540,11,15,0.720642112396,1637.55210241,16.2133871525
3,73,180,540,11,15,0.625120299746,1408.73360634,22.3815375503
3,101,180,540,11,15,1.69333761185,1639.37894503,16.2314747033
3,83,180,540,11,15,2.401110945,1592.55433083,18.6710289635
3,90,360,1080,11,15,0.695266932246,1814.66444333,19.8926570467
3,84,360,1080,11,15,3.93922861261,1767.03834534,21.2677364611
3,93,360,1080,11,15,0.529093557523,1779.93893623,19.3390602127
3,101,360,1080,11,15,1.01482368083,1981.27524058,19.6165865404
3,77,360,1080,11,15,1.11548254269,1554.22107379,22.0215944104
3,76,360,1080,11,15,0.725848771624,1671.37074471,22.0404851007
3,100,360,1080,11,15,1.12776593076,1881.23631477,18.7349851423
3,96,360,1080,11,15,1.27956139129,1768.73803139,18.082925479
3,101,720,2160,11,15,1.40133330576,2361.23577754,23.3785720548
3,88,720,2160,11,15,0.607787657576,2308.11142921,25.1474750817
3,100,720,2160,11,15,0.607991989888,2437.04366684,24.2507870318
3,89,720,2160,11,15,0.611167049922,2348.97470474,26.9308718993
3,96,720,2160,11,15,0.878435891446,2424.67053731,25.2579760482
3,98,720,2160,11,15,0.65909929357,2492.89091428,25.3195173494
3,101,720,2160,11,15,1.91298653239,2358.66689682,23.3531375923
3,91,720,2160,11,15,3.59989316301,2209.85468229,24.1747430992
3,92,1440,4320,11,15,0.656089456202,3646.18595441,39.0899360865
3,101,1440,4320,11,15,1.03102676071,4173.14998309,41.3183166642
3,98,1440,4320,11,15,0.638685999921,3785.15307109,38.7292463086
3,101,1440,4320,11,15,0.806001170199,3616.12669627,35.8032346165
3,86,1440,4320,11,15,0.789689554186,3762.24104563,43.8393950152
3,88,1440,4320,11,15,0.832251529885,3542.54086812,40.458504916
3,87,1440,4320,11,15,1.71356098115,3265.93001684,37.1787293408
3,99,1440,4320,11,15,0.641364309609,3854.90592321,38.8095049803
3,101,1440,4320,11,15,0.548272924622,4134.69568888,40.9375810781
3,101,2880,8640,11,15,1.84124158423,6542.65570641,64.7787693704
3,101,2880,8640,11,15,0.826995101545,6546.12104098,64.8130796137
3,101,2880,8640,11,15,1.31168736556,6645.84128062,65.800408719
3,101,2880,8640,11,15,0.521171293168,6352.91902224,62.900188339
3,101,2880,8640,11,15,1.91922750894,6517.61595408,64.5308510305
3,101,2880,8640,11,15,0.533098714603,6559.4347318,64.9448983347
3,101,2880,8640,11,15,1.50028776682,6497.49596914,64.3316432588
3,96,2880,8640,11,15,0.571407094733,6044.67431704,62.6465807391
3,101,2880,8640,11,15,0.904797841104,6510.4393959,64.4597959991
3,101,2880,8640,11,15,3.99655873656,6493.08427175,64.2879630866
3,101,5760,17280,11,15,0.671087541231,11848.8942782,117.315784933
3,101,5760,17280,11,15,0.65208021736,11998.3874162,118.795915012
3,101,5760,17280,11,15,1.44847561368,11886.3753478,117.686884631
3,101,5760,17280,11,15,0.633998836349,11579.2292754,114.64583441
3,101,5760,17280,11,15,0.613186680838,11947.8769302,118.29581119
3,101,5760,17280,11,15,0.640557976428,12076.6766866,119.571056303
3,94,5760,17280,11,15,0.627743187317,11195.3097184,117.915786801
3,101,5760,17280,11,15,0.588419681785,11882.1820418,117.645366751
3,101,5760,17280,11,15,0.613086474172,11819.6552595,117.026289698
4,99,90,360,11,15,1.02060554644,1480.90404272,14.8111735799
4,90,90,360,11,15,1.25451510247,1404.71726656,14.808900405
4,83,90,360,11,15,3.15385574733,1489.57270384,16.8784598111
4,87,90,360,11,15,0.448190198622,1491.14954472,17.2288504436
4,82,90,360,11,15,1.25598020633,1418.62428188,17.5804975363
4,85,90,360,11,15,2.50252526385,1474.1216898,17.3180429599
4,88,90,360,11,15,1.45824606189,1389.34099674,15.4730180975
4,100,90,360,11,15,1.89802105534,1553.11667919,15.5037426806
4,97,90,360,11,15,0.608606837543,1444.56577301,14.7882905364
4,90,90,360,11,15,3.74012735313,1510.39946079,16.5978544089
4,85,180,720,11,15,0.988991112016,1624.36872721,18.9901734898
4,82,180,720,11,15,0.730475637695,1509.30404663,17.7984717745
4,77,180,720,11,15,0.772142842261,1660.45045853,21.6743226195
4,82,180,720,11,15,0.577015855252,1515.16777277,17.0154856313
4,82,180,720,11,15,2.48213626621,1776.01420879,22.8027591652
4,89,180,720,11,15,2.03373130824,1573.33153486,18.4541999147
4,101,180,720,11,15,0.520791470452,1614.65448141,15.9866780338
4,87,180,720,11,15,3.01312276591,1585.94703674,17.0623729622
4,78,180,720,11,15,1.45103941849,1565.4784441,19.1853755362
4,84,180,720,11,15,1.53317267304,1580.93613386,19.5976639779
4,89,360,1440,11,15,0.911473056164,2051.13071203,22.0970902025
4,82,360,1440,11,15,1.6034594723,1977.81026363,24.7750813836
4,85,360,1440,11,15,3.90404296238,2163.18941116,24.0451693276
4,95,360,1440,11,15,0.830522182352,2021.72881365,21.0438009143
4,98,360,1440,11,15,1.26096547379,1872.81143665,18.8589392895
4,90,360,1440,11,15,2.62451259382,1919.17550564,21.5338807126
4,88,360,1440,11,15,0.651451070366,1889.18477297,23.8110892554
4,84,360,1440,11,15,0.582051149352,2025.05332232,23.1637993507
4,79,360,1440,11,15,1.64536573013,1792.45007038,22.9880554809
4,86,360,1440,11,15,1.26345020186,1968.98072958,22.093813034
4,98,720,2880,11,15,0.598278070302,2550.2884388,25.667778855
4,95,720,2880,11,15,0.883522632358,2694.29343939,28.3435935633
4,93,720,2880,11,15,0.572247194315,2693.18127632,29.5730988586
4,101,720,2880,11,15,0.652742903053,3252.91913748,32.207120173
4,97,720,2880,11,15,1.22262210473,2762.97551394,28.0058900989
4,88,720,2880,11,15,0.522858278156,2423.07245731,26.8712759857
4,79,720,2880,11,15,2.20202716981,2457.3392272,32.3348413982
4,99,720,2880,11,15,0.706641106544,2522.09752798,25.3290823253
4,89,720,2880,11,15,0.638797463504,2463.06526661,26.7751357083
4,88,720,2880,11,15,0.768469438222,2415.93295336,27.2141965404
4,98,1440,5760,11,15,0.630207516598,3887.9737854,39.4737225217
4,101,1440,5760,11,15,0.710820874031,4140.75475931,40.9975718744
4,101,1440,5760,11,15,0.579693869278,4325.1362443,42.8231311317
4,93,1440,5760,11,15,1.041744231,4063.8089776,43.5932929678
4,92,1440,5760,11,15,0.569865293776,3744.8580265,40.5955274888
4,96,1440,5760,11,15,1.42565028985,3771.34549618,38.8456663753
4,100,1440,5760,11,15,0.721033081438,3894.94681358,38.6519561251
4,99,1440,5760,11,15,1.21888387909,3827.57681608,38.5410469759
4,93,1440,5760,11,15,1.53877082044,3796.17917538,40.6249224795
4,98,1440,5760,11,15,1.25864770697,3829.25564051,39.0550382133
4,101,2880,11520,11,15,0.703226297285,7205.82807064,71.3448323826
4,101,2880,11520,11,15,1.37385275499,6609.16149616,65.4372425363
4,97,2880,11520,11,15,0.584870064749,6444.12171841,66.0761646983
4,101,2880,11520,11,15,0.766959793953,6610.79382896,65.4534042472
4,101,2880,11520,11,15,1.34629251276,6924.1617322,68.5560567544
4,101,2880,11520,11,15,0.722379528458,6918.86729002,68.5036365349
4,96,2880,11520,11,15,1.07887482884,6418.05303097,66.1238536892
4,101,2880,11520,11,15,0.781839238965,6551.9990325,64.8712775495
4,101,2880,11520,11,15,2.38902557882,6615.01896381,65.4952372655
4,101,2880,11520,11,15,0.595439785917,6762.27372885,66.9532052361
4,100,5760,23040,11,15,0.996162774537,11763.0047202,117.383709247
4,96,5760,23040,11,15,1.37340594896,11369.2747355,117.756276075
4,101,5760,23040,11,15,0.614106085998,12701.5464902,125.757886042
4,101,5760,23040,11,15,2.20140683311,12460.5872035,123.37215053
4,95,5760,23040,11,15,0.619573601875,11658.3421826,121.408111218
4,101,5760,23040,11,15,0.614647869721,12188.1654263,120.67490521
4,101,5760,23040,11,15,1.27141640073,12407.7680111,122.849188229
4,101,5760,23040,11,15,2.30572947645,11949.5917559,118.312789662
4,101,5760,23040,11,15,1.25011154121,11814.5512938,116.975755385
5,82,90,450,11,15,2.33310975185,1681.99882507,23.1043147867
5,79,90,450,11,15,1.87380101341,1667.94495583,23.6922529692
5,96,90,450,11,15,0.754389817869,1798.58598709,18.2993618744
5,92,90,450,11,15,1.09888272295,1757.2947979,19.3032897934
5,87,90,450,11,15,0.517659110349,1853.48539352,22.1220709942
5,92,90,450,11,15,0.553159374913,2344.41838264,25.0967537107
5,88,90,450,11,15,1.29508813683,1737.29553223,19.8388315823
5,78,90,450,11,15,2.48718384667,1771.34976387,25.9212736541
5,86,90,450,11,15,2.73619260283,1621.98181152,19.7950993728
5,96,90,450,11,15,3.50258515314,1876.56645775,19.7724264118
5,89,180,900,11,15,1.75358133908,1958.70895386,23.328042193
5,92,180,900,11,15,1.07976080276,2025.29063225,21.8095255061
5,86,180,900,11,15,2.63792091303,1863.56782913,24.4687582226
5,85,180,900,11,15,1.6243408614,1790.87004662,20.5528919343
5,94,180,900,11,15,3.04797816416,1867.67997742,19.6747834995
5,86,180,900,11,15,2.58117897044,1956.78219795,23.2323725231
5,80,180,900,11,15,0.579065265935,1842.83027649,23.0033435904
5,83,180,900,11,15,1.07107688044,1852.32276917,23.0439597891
5,89,180,900,11,15,1.3548682795,1970.71604729,21.6697121819
5,83,180,900,11,15,1.27997668324,1908.14013481,24.0949074083
5,92,360,1800,11,15,1.17307025241,2246.17972374,25.6440954613
5,97,360,1800,11,15,0.650615815036,2311.31978035,24.1370998008
5,80,360,1800,11,15,1.57314767451,2510.26792526,31.8296912452
5,92,360,1800,11,15,0.879192288159,2234.84163284,23.7539785777
5,87,360,1800,11,15,1.27563998234,2237.21418381,25.4547928243
5,94,360,1800,11,15,1.09701235572,2361.67578697,24.6700099094
5,85,360,1800,11,15,2.23866019569,2198.74558449,26.6847242744
5,95,360,1800,11,15,0.630496219018,2264.05487061,24.234069373
5,86,360,1800,11,15,0.96519602756,2180.88383675,25.513259456
5,80,360,1800,11,15,0.922702700906,2125.77037811,25.6190215556
5,101,720,3600,11,15,0.968397760644,3002.62460709,29.7289565058
5,101,720,3600,11,15,1.20646417022,2994.00858879,29.643649394
5,88,720,3600,11,15,1.2885065856,2804.50258255,32.9303307472
5,100,720,3600,11,15,0.710428331365,2947.25894928,29.3088086375
5,99,720,3600,11,15,1.31753737012,2966.34788513,29.7600728194
5,101,720,3600,11,15,0.581243253714,2961.06095314,29.3174351796
5,99,720,3600,11,15,1.25459577963,2956.86602592,29.6194301234
5,94,720,3600,11,15,1.11196794216,2971.18406296,31.1386638796
5,85,720,3600,11,15,1.24992852237,2648.93007278,31.9549699192
5,90,720,3600,11,15,0.682510328829,2844.82059479,32.1997381688
5,101,1440,7200,11,15,1.0655495963,4244.43902969,42.0241488088
5,98,1440,7200,11,15,0.704492584125,4311.2408638,43.5259627002
5,93,1440,7200,11,15,0.746399226726,4252.20422745,45.1711465893
5,101,1440,7200,11,15,0.708509641015,4273.69031906,42.3137655353
5,96,1440,7200,11,15,0.61299470811,4290.62123299,44.6711834992
5,95,1440,7200,11,15,0.83392486483,4159.89098549,43.4654054369
5,97,1440,7200,11,15,1.05487693267,4325.82321167,44.205992658
5,101,1440,7200,11,15,1.89901401811,4330.18803596,42.8731488709
5,101,1440,7200,11,15,0.64733136508,4341.74461365,42.9875704322
5,94,1440,7200,11,15,1.52929494853,4107.49869347,43.6385867905
5,100,2880,14400,11,15,1.3911891355,6992.8571701,69.7140049178
5,96,2880,14400,11,15,0.685179374636,6853.24416161,70.9735147842
5,101,2880,14400,11,15,0.596499012084,7010.56838036,69.4115681223
5,101,2880,14400,11,15,1.1548065672,6997.16520309,69.278863397
5,101,2880,14400,11,15,1.10206913375,7094.12856102,70.2388966438
5,97,2880,14400,11,15,0.706781219442,6980.58867455,71.7909312934
5,101,2880,14400,11,15,0.742225260216,7083.68444443,70.1354895488
5,101,2880,14400,11,15,0.853985603687,7131.71601295,70.6110496332
5,95,2880,14400,11,15,0.732044371979,6751.48758888,70.7214195947
5,99,2880,14400,11,15,1.43966601527,7074.78985786,70.8212038401
5,101,5760,28800,11,15,1.49171059992,12236.6623402,121.155072675
5,101,5760,28800,11,15,0.737988426144,12892.2020912,127.64556526
5,101,5760,28800,11,15,1.33601318139,12419.1232204,122.961616044
5,101,5760,28800,11,15,1.19965917388,12426.8444538,123.038063899
5,101,5760,28800,11,15,0.913480567803,12596.1670876,124.714525619
5,100,5760,28800,11,15,0.75225191453,12318.8635349,122.609248579
5,101,5760,28800,11,15,0.820899430468,12513.3583069,123.894636702
5,101,5760,28800,11,15,0.630813437268,12883.798027,127.562356703
5,101,5760,28800,11,15,0.769217227425,12512.2923851,123.884083021
5,101,5760,28800,11,15,0.607416549184,12668.8181877,125.433843443
6,82,90,540,11,15,0.77408850761,2093.29088529,30.0179156324
6,85,90,540,11,15,2.0971208174,2148.40734005,24.987042077
6,99,90,540,11,15,1.41855033881,2244.41369375,22.6532542199
6,93,90,540,11,15,2.02033388411,2092.05317497,21.6577048368
6,95,90,540,11,15,0.623118070211,2215.33429623,23.1752427462
6,75,90,540,11,15,0.553833422229,1989.46464062,26.3074589169
6,91,90,540,11,15,0.661985649963,2215.35583337,23.6643212549
6,83,90,540,11,15,3.60483267708,2175.56035519,24.5636180007
6,86,90,540,11,15,1.14392055742,2271.49999142,27.4166159845
6,91,90,540,11,15,1.02752348695,2174.20355479,26.3184004936
6,87,180,1080,11,15,1.10469308714,2463.83110682,29.264975762
6,88,180,1080,11,15,0.8414552257,2349.97733434,27.5060199926
6,97,180,1080,11,15,2.18516469153,2439.30578232,24.9398088829
6,94,180,1080,11,15,1.14510428359,2448.27453295,25.5071403707
6,77,180,1080,11,15,0.830054753174,2334.34263865,29.8012547536
6,82,180,1080,11,15,1.69690574187,2364.50970173,29.3319248671
6,74,180,1080,11,15,0.763346761919,2362.04497019,32.9006072729
6,86,180,1080,11,15,0.772845994721,2397.8326718,27.3242049346
6,80,180,1080,11,15,2.45207884041,2341.7741855,31.0711304348
6,83,180,1080,11,15,0.731837776512,2382.85307089,26.8393559435
6,94,360,2160,11,15,0.628314590205,2667.73299376,27.7491802998
6,90,360,2160,11,15,2.43794907651,2700.90309779,29.2582558508
6,94,360,2160,11,15,0.858707217714,2674.48079586,28.4443337884
6,83,360,2160,11,15,3.14948471533,2726.273338,31.5546556618
6,92,360,2160,11,15,2.49729183255,2812.6560847,30.5540026377
6,80,360,2160,11,15,1.3322138445,2565.32168388,31.904244106
6,92,360,2160,11,15,1.29268330173,2703.6610047,30.2768460251
6,88,360,2160,11,15,1.64516118221,2588.84060383,29.8361306481
6,99,360,2160,11,15,0.579694884098,2592.21784274,25.9904418813
6,101,360,2160,11,15,1.03345369157,2803.62788836,27.758691964
6,86,720,4320,11,15,1.63831695058,3170.08586725,36.1981682798
6,80,720,4320,11,15,1.10919198653,3028.72002125,38.2076631749
6,89,720,4320,11,15,2.05338145219,3325.47386487,37.0261037579
6,93,720,4320,11,15,1.86492330317,3222.47799238,35.1887267575
6,98,720,4320,11,15,1.6591428001,3354.45066293,33.9788558799
6,77,720,4320,11,15,0.817152210431,3068.38854154,38.5514153961
6,97,720,4320,11,15,0.675008942099,3305.33897877,34.5424232499
6,96,720,4320,11,15,0.963646954912,3148.7351656,32.6600315133
6,99,720,4320,11,15,1.68378903829,3348.71013959,33.5805034874
6,89,720,4320,11,15,1.45427953473,3221.07565403,35.342351656
6,90,1440,8640,11,15,1.05416829928,4359.26179091,47.7808008864
6,90,1440,8640,11,15,1.43507960691,4434.49628353,49.0621189607
6,99,1440,8640,11,15,0.710591732662,4615.96683661,46.231696928
6,93,1440,8640,11,15,0.536018632657,4514.38685258,48.0329494103
6,89,1440,8640,11,15,0.694495670328,4454.85285918,50.9153127341
6,101,1440,8640,11,15,1.03769475421,4803.28985055,47.557325253
6,91,1440,8640,11,15,2.54549179996,4540.90396563,49.2808100345
6,96,1440,8640,11,15,0.786974111519,4778.99336815,50.0734669498
6,95,1440,8640,11,15,1.45535247282,4725.2257665,49.3615545433
6,101,1440,8640,11,15,1.69021812253,4747.99346924,47.0098363291
6,101,2880,17280,11,15,1.36243298716,7680.07818858,76.0403781047
6,99,2880,17280,11,15,0.876112834055,7554.58215872,75.685111201
6,101,2880,17280,11,15,1.01787053244,7752.64100234,76.7588218053
6,101,2880,17280,11,15,1.46401644262,7727.50286261,76.5099293328
6,98,2880,17280,11,15,0.606567786489,7637.00318336,77.3690556328
6,100,2880,17280,11,15,0.699812438701,7855.94634215,77.9843665912
6,100,2880,17280,11,15,1.21620963283,7442.80612469,73.8110662687
6,101,2880,17280,11,15,0.996402219699,7609.8083655,75.3446372822
6,101,2880,17280,11,15,0.974668146748,7456.54622714,73.8271903677
6,101,2880,17280,11,15,0.631534437318,7633.57901573,75.5799902548
6,101,5760,34560,11,15,0.63543611376,13082.806468,129.532737307
6,101,5760,34560,11,15,0.898662203169,13076.6843557,129.472122334
6,101,5760,34560,11,15,0.970006469035,13237.9816771,131.069125515
6,101,5760,34560,11,15,0.636809942933,13281.180342,131.49683507
6,101,5760,34560,11,15,0.665249283121,13428.6888838,132.957315681
6,101,5760,34560,11,15,1.33507385949,13106.2487761,129.764839368
6,96,5760,34560,11,15,0.663500420851,12672.2041368,131.156687578
6,101,5760,34560,11,15,0.731654081929,13213.3101622,130.824853091
6,101,5760,34560,11,15,1.72172979185,13671.3515917,135.35991675
6,101,5760,34560,11,15,0.670163025424,13297.6593177,131.659993244
7,91,90,630,11,15,0.637411135522,2554.15299961,26.8691364788
7,75,90,630,11,15,2.46110031378,2497.09817341,32.732710732
